service_approval_number, date_approval_granted, geocode_level, trading_name, provider_approval_number, state, postcode, conditions, legal_name, suburb, address, ogc_fid, longitude, latitude
null,"20 Apr 2016","Locality",null,"PR-40005889","VIC",3012,null,"AKRAAM FAMILY DAY CARE PTY LTD","MAIDSTONE","38A HOWARD ST ",172,144.878,-37.783
null,"29 Dec 2011","Locality",null,"PR-00002825","VIC",3759,null,"Panton Hill Primary School Council","PANTON HILL","585 KANGAROO GROUND - ST ANDREWS ROAD ",351,145.2424941,-37.6400391
null,"29 Dec 2011","Locality",null,"PR-00001731","VIC",3759,null,"Panton Hill Preschool Inc","PANTON HILL","601 MAIN ROAD ",352,145.2424941,-37.6400391
null,"02 Sep 2013","Locality","Early Learners","PR-40001057","VIC",3015,null,"EARLY LEARNERS PTY LTD","NEWPORT","Early Learners",393,144.884,-37.842
null,"29 Dec 2011","Locality",null,"PR-00002645","VIC",3015,null,"Early Learners School Inc","NEWPORT","Early Learners School ",394,144.884,-37.842
null,"29 Dec 2011","Locality",null,"PR-00002422","VIC",3170,null,"The Body Shop Children's Centre Pty Ltd","MULGRAVE","CNR WELLINGTON & JACKSONS RD ",414,145.1762197,-37.9267579
null,"29 Dec 2011","Locality",null,"PR-00002149","VIC",3170,null,"Child & Family Care Network","MULGRAVE","Child & Family Care Network",415,145.1762197,-37.9267579
null,"29 Dec 2011","Locality",null,"PR-00001477","VIC",3108,null,"Doncaster Kindergarten Association Inc","DONCASTER","SUITE 11A MANNINGHAM CITY SQUARE MC2 ",416,145.1210303,-37.7865824
null,"29 Dec 2011","Locality",null,"PR-00002043","VIC",3137,null,"Arrabri Kindergarten Inc","KILSYTH","Arrabri Kindergarten ",417,145.316,-37.802
null,"29 Dec 2011","Locality",null,"PR-00001897","VIC",3113,null,"Warrandyte & District Preschool Assoc Inc","WARRANDYTE","2 TAROONA AVENUE ",420,145.223,-37.738
null,"29 Dec 2011","Locality",null,"PR-00003054","VIC",3168,null,"St Dominic Savio Early Learning Centre Pty Ltd","CLAYTON","19 DONALD STREET ",424,145.1320653,-37.9211962
null,"24 Jan 2014","Locality","BITTERN PRIMARY SCHOOL","PR-40001323","VIC",3918,null,"BITTERN PRIMARY SCHOOL COUNCIL","BITTERN","BITTERN PRIMARY SCHOOL",425,145.165179,-38.3329437
null,"29 Dec 2011","Locality",null,"PR-00001447","VIC",3169,null,"CSIRO Care Clayton Inc","CLAYTON SOUTH","CSIRO Care Clayton ",426,145.123,-37.947
null,"29 Dec 2011","Locality",null,"PR-00002278","VIC",3193,null,"Minnows Childcare Pty. Ltd.","BEAUMARIS","Minnows Childcare . .",427,145.0434,-37.983
null,"29 Dec 2011","Locality",null,"PR-00001910","VIC",3171,null,"Wellington Preschool Inc","SPRINGVALE","Wellington Preschool ",428,145.1541397,-37.9473307
null,"29 Dec 2011","Locality",null,"PR-00001907","VIC",3133,null,"Waverley Christian College Inc","VERMONT","Waverley Christian College ",429,145.198,-37.838
null,"29 Dec 2011","Locality",null,"PR-00002783","VIC",3175," The approved provider must:o\tReview the service policy and procedures for interactions with children including giving each child positive guidance and encouragement toward acceptable behaviour.  A copy of the revised policy and procedures must be submitted to the Department by 26 March 2016. The approved provider must:o\tensure that the person with management or control of the service the nominated supervisors educational leaders and educators employed appointed or engaged by the service attend an information forum conducted by the Department in relation to the content and application of the Education and Care Services National Law Act 2010 and the Education and Care Services National Regulations 2011 by 26 March 2016. The approved provider must:o\tProvide professional development to the person with management or control of each service the nominated supervisors educational leaders and all educators employed appointed or engaged by the service to ensure that they gain knowledge to build their skills to enable them to positively interact with children and give each child positive guidance and encouragement toward acceptable behaviour by 26 March 2016. o\tEnsure that the professional development is delivered by a recognised early childhood organisation or expert approved in writing by the Department prior to their engagement.o\tProvide the Department with proof of the completion of the professional development within 7 days of completion.","Youth Leadership Victoria Inc","DANDENONG","Youth Leadership Victoria ",430,145.215,-37.981
null,"06 Mar 2013","Locality","New Generation Family Day Care Pty Ltd","PR-40000229","VIC",3175,null,"NEW GENERATION FAMILY DAY CARE PTY LTD","DANDENONG","65 FOSTER STREET ",431,145.215,-37.981
null,"29 Dec 2011","Locality",null,"PR-00002538","VIC",3175,null,"Panda Care PTY LTD (Trading as Panda Family Day Care)","DANDENONG","15 LANGHORNE STREET",432,145.215,-37.981
null,"21 Nov 2013","Locality",null,"PR-40001224","VIC",3133,null,"HILLTOP LEARNING PTY LTD","VERMONT SOUTH","HILLTOP LEARNING  ",433,145.183,-37.851
null,"29 Dec 2011","Locality",null,"PR-00002769","VIC",3158,null,"Upwey South Primary School Council","UPWEY","Upwey South Primary School Council",434,145.3309395,-37.9039829
null,"28 Sep 2012","Locality","Koala Childcare and Kindergarten - Mt Waverley","PR-40000097","VIC",3124,null,"Wilson Childcare Pty Ltd","CAMBERWELL WEST","Koala Childcare and Kindergarten - Mt Waverley",436,145.071,-37.835
null,"28 Sep 2012","Locality","Koala Childcare and Kindergarten- Reservoir","PR-40000092","VIC",3124,null,"Bambinos Childcare Pty Ltd","CAMBERWELL WEST","Koala Childcare and Kindergarten- Reservoir",437,145.071,-37.835
null,"28 Sep 2012","Locality","Koala Childcare and Kindergarten - East Doncaster","PR-40000095","VIC",3124,null,"Koala Childcare and Early Learning Centres Pty Ltd","CAMBERWELL WEST","Koala Childcare and Kindergarten - East Doncaster",438,145.071,-37.835
null,"29 Dec 2011","Locality",null,"PR-00001402","VIC",3124,null,"Camberwell Baptist Church Kindergarten Inc","CAMBERWELL","Camberwell Baptist Church Kindergarten ",439,145.0658766,-37.8334095
null,"20 Dec 2013","Locality","BETHAL PRIMARY SCHOOL COUNCIL","PR-40001132","VIC",3048,null,"BETHAL PRIMARY SCHOOL COUNCIL","MEADOW HEIGHTS","BETHAL PRIMARY SCHOOL COUNCIL",440,144.922,-37.65
null,"29 Dec 2011","Locality",null,"PR-00001351","VIC",3191,null,"Bayside City Council","SANDRINGHAM","Bayside City Council",441,145.0135139,-37.9533967
null,"29 Dec 2011","Locality",null,"PR-00002466","VIC",3103,null,"Maple Street Early Learning Pty Ltd atf Maple Street Early Learning Trust","BALWYN","Maple Street Early Learning   atf Maple Street Early Learning Trust",442,145.078889,-37.808889
null,"29 Dec 2011","Locality",null,"PR-00001464","VIC",3103,null,"Deepdene Preschool Centre Inc","BALWYN","Deepdene Preschool Centre ",443,145.078889,-37.808889
null,"29 Dec 2011","Locality",null,"PR-00001403","VIC",3103,null,"Camberwell Grammar School","BALWYN","Camberwell Grammar School",444,145.078889,-37.808889
null,"07 Jul 2016","Locality",null,"PR-40003902","VIC",3140,null,"John Valoa","LILYDALE","9 PARK LANE ",445,145.3475331,-37.7643547
null,"29 Dec 2011","Locality",null,"PR-00002865","VIC",3140,null,"Lilydale West Primary School","LILYDALE","Lilydale West Primary School",446,145.3475331,-37.7643547
null,"29 Dec 2011","Locality",null,"PR-00002231","VIC",3140,null,"A.M. Cowmey Pty. Limited & Katerean Pty. Limited","LILYDALE","162 - 164 NELSON DRIVE ",447,145.3475331,-37.7643547
null,"29 Dec 2011","Locality",null,"PR-00001988","VIC",3140,null,"Lilydale Preschool Centre Inc","LILYDALE","Lilydale Preschool Centre ",448,145.3475331,-37.7643547
null,"29 Dec 2011","Locality",null,"PR-00002138","VIC",3140,null,"Lilydale North Pre-School Inc","LILYDALE","Lilydale North Pre-School ",449,145.3475331,-37.7643547
null,"29 Dec 2011","Locality",null,"PR-00001836","VIC",3169,null,"Sundowner Kindergarten Inc","CLARINDA","Sundowner Kindergarten ",450,145.103,-37.941
null,"29 Dec 2011","Locality",null,"PR-00001342","VIC",3079,null,"Banyule City Council","IVANHOE","Banyule City Council",451,145.0457,-37.7703
