,name,local_date_time_full,lat,lon,apparent_t,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,rain_trace,rel_hum,vis_km,wind_dir,wind_spd_kmh,wind_spd_kt
0,Melbourne CBD,2024-05-13-16,-37.8,145.0,16.85,2.75,8.5,4.5,16.7,11.7,1022.05,1022.05,1022.05,"['0.0', '0.0']",72.5,"['10', '10']","['CALM', 'S']",2.0,1.0
1,Melbourne CBD,2024-05-13-15,-37.8,145.0,16.15,3.15,12.0,6.5,17.15,11.3,1021.85,1021.85,1021.85,"['0.0', '0.0']",68.5,"['10', '10']","['SSW', 'SSW']",7.5,4.0
2,Melbourne CBD,2024-05-13-14,-37.8,145.0,17.1,3.3,9.0,5.0,17.7,11.65,1021.5,1021.5,1021.5,"['0.0', '0.0']",68.0,"['10', '10']","['S', 'SSE']",6.0,3.0
3,Melbourne CBD,2024-05-13-13,-37.8,145.0,13.4,1.7,19.5,10.5,14.95,11.8,1021.8,1021.8,1021.8,"['0.0', '0.0']",81.5,"['10', '10']","['SSW', 'SSW']",11.0,6.0
4,Melbourne CBD,2024-05-13-12,-37.8,145.0,15.3,3.0999999999999996,18.5,10.0,16.7,10.95,1021.9,1021.9,1021.9,"['0.0', '0.0']",69.0,"['10', '10']","['SSW', 'SSW']",9.0,5.0
5,Melbourne CBD,2024-05-13-11,-37.8,145.0,18.049999999999997,3.7,4.5,2.5,18.049999999999997,11.15,1022.7,1022.7,1022.7,"['0.0', '0.0']",64.0,"['10', '10']","['CALM', 'NE']",2.0,1.0
6,Melbourne CBD,2024-05-13-10,-37.8,145.0,14.25,2.55,10.0,5.5,15.3,10.45,1023.1,1023.1,1023.1,"['0.0', '0.0']",73.0,"['10', '10']","['NNE', 'NNE']",6.5,3.5
7,Melbourne CBD,2024-05-13-09,-37.8,145.0,10.5,1.25,14.0,7.5,12.2,9.75,1022.95,1022.95,1022.95,"['0.0', '0.0']",85.0,"['10', '10']","['NNE', 'NE']",9.0,5.0
8,Melbourne CBD,2024-05-13-08,-37.8,145.0,8.55,0.2,12.0,6.5,10.1,9.65,1022.95,1022.95,1022.95,"['0.0', '0.0']",97.0,"['10', '10']","['NE', 'NE']",8.0,4.5
9,Melbourne CBD,2024-05-13-07,-37.8,145.0,7.65,0.0,12.0,6.5,9.3,9.3,1022.45,1022.45,1022.45,"['0.0', '0.0']",100.0,"['10', '10']","['NE', 'NE']",8.0,4.5
10,Melbourne CBD,2024-05-13-06,-37.8,145.0,8.2,0.0,10.0,5.5,9.6,9.6,1022.0,1022.0,1022.0,"['0.0', '0.0']",100.0,"['10', '10']","['NNE', 'NNE']",7.0,4.0
11,Melbourne CBD,2024-05-13-05,-37.8,145.0,8.399999999999999,0.0,10.0,5.5,9.65,9.65,1021.8,1021.8,1021.8,"['0.0', '0.0']",100.0,"['10', '10']","['ENE', 'NE']",6.5,3.5
12,Melbourne CBD,2024-05-13-04,-37.8,145.0,8.649999999999999,0.0,10.0,5.5,9.95,9.95,1021.7,1021.7,1021.7,"['0.0', '0.0']",100.0,"['10', '10']","['NE', 'NE']",7.0,4.0
13,Melbourne CBD,2024-05-13-03,-37.8,145.0,9.45,0.0,10.0,5.5,10.5,10.5,1021.8499999999999,1021.8499999999999,1021.8499999999999,"['0.0', '0.0']",100.0,"['10', '10']","['NE', 'NE']",6.5,3.5
14,Melbourne CBD,2024-05-13-02,-37.8,145.0,10.600000000000001,0.0,0.0,0.0,10.45,10.45,1022.2,1022.2,1022.2,"['0.0', '0.0']",100.0,"['9', '10']","['CALM', 'CALM']",0.0,0.0
15,Melbourne CBD,2024-05-13-01,-37.8,145.0,10.75,0.0,0.0,0.0,10.55,10.55,1022.4,1022.4,1022.4,"['0.0', '0.0']",100.0,"['10', '7']","['CALM', 'CALM']",0.0,0.0
16,Melbourne CBD,2024-05-13-01,-37.8,145.0,10.75,0.0,0.0,0.0,10.55,10.55,1022.5,1022.5,1022.5,"['0.0', '0.0']",100.0,"['7', '9']","['CALM', 'CALM']",0.0,0.0
17,Melbourne CBD,2024-05-13-01,-37.8,145.0,11.0,0.0,0.0,0.0,10.75,10.75,1022.5,1022.5,1022.5,"['0.0', '0.0']",100.0,"['9', '10']","['CALM', 'CALM']",0.0,0.0
18,Melbourne CBD,2024-05-13-00,-37.8,145.0,11.5,0.0,0.0,0.0,11.15,11.15,1022.8,1022.8,1022.8,"['0.0', '0.0']",100.0,"['9', '10']","['CALM', 'CALM']",0.0,0.0
19,Melbourne CBD,2024-05-12-23,-37.8,145.0,12.5,0.0,3.5,2.0,12.05,12.05,1022.8,1022.8,1022.8,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'E']",1.0,0.5
20,Melbourne CBD,2024-05-12-22,-37.8,145.0,13.05,0.0,0.0,0.0,12.3,12.3,1022.9,1022.9,1022.9,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
21,Melbourne CBD,2024-05-12-21,-37.8,145.0,12.25,0.0,3.0,1.5,11.85,11.85,1022.85,1022.85,1022.85,"['0.0', '0.0']",100.0,"['10', '10']","['WSW', 'CALM']",1.0,0.5
22,Melbourne CBD,2024-05-12-20,-37.8,145.0,12.45,0.0,0.0,0.0,11.850000000000001,11.850000000000001,1022.45,1022.45,1022.45,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
23,Melbourne CBD,2024-05-12-19,-37.8,145.0,12.95,0.15,0.0,0.0,12.3,12.05,1022.3499999999999,1022.3499999999999,1022.3499999999999,"['0.0', '0.0']",98.5,"['10', '10']","['CALM', 'CALM']",0.0,0.0
24,Melbourne CBD,2024-05-12-18,-37.8,145.0,13.8,0.65,0.0,0.0,13.15,11.95,1022.1500000000001,1022.1500000000001,1022.1500000000001,"['0.0', '0.0']",92.5,"['10', '10']","['CALM', 'CALM']",0.0,0.0
25,Melbourne CBD,2024-05-12-17,-37.8,145.0,15.15,1.8,4.5,2.5,14.85,11.45,1022.0,1022.0,1022.0,"['0.0', '0.0']",80.0,"['10', '10']","['CALM', 'SSW']",1.0,0.5
26,Melbourne CBD,2024-05-12-16,-37.8,145.0,15.45,2.65,14.0,7.5,16.45,11.600000000000001,1021.8,1021.8,1021.8,"['0.0', '0.0']",73.0,"['10', '10']","['SSW', 'SSW']",8.0,4.5
27,Melbourne CBD,2024-05-12-15,-37.8,145.0,16.75,3.0999999999999996,13.0,7.0,17.65,12.0,1021.8499999999999,1021.8499999999999,1021.8499999999999,"['0.0', '0.0']",69.5,"['10', '10']","['SSW', 'SW']",8.0,4.5
