geography_name, rai_national_total_2014_q2, rai_national_total_2014_q3, rai_national_total_2014_q4, rai_national_total_2021_q1, rai_national_total_2014_q1, state, rai_national_total_2020_q1, rai_national_total_2020_q2, rai_national_total_2020_q3, rai_national_total_2011_q2, rai_national_total_2020_q4, rai_national_total_2011_q1, city, unique_id, rai_national_total_2013_q3, rai_national_total_2013_q4, rai_national_total_2013_q1, rai_national_total_2012_q4, rai_national_total_2013_q2, rai_national_total_2015_q3, rai_national_total_2015_q4, rai_national_total_2015_q1, rai_national_total_2015_q2, rai_national_total_2016_q1, rai_national_total_2016_q2, rai_national_total_2016_q3, rai_national_total_2016_q4, rai_national_total_2012_q1, rai_national_total_2012_q3, rai_national_total_2012_q2, rai_national_total_2017_q3, rai_national_total_2017_q4, rai_national_total_2019_q1, rai_national_total_2017_q1, rai_national_total_2019_q2, rai_national_total_2017_q2, rai_national_total_2011_q4, rai_national_total_2018_q4, rai_national_total_2018_q3, rai_national_total_2018_q2, rai_national_total_2018_q1, rai_national_total_2021_q2, rai_national_total_2019_q3, rai_national_total_2019_q4
"3111",101.81,96.15385,109.8901,101.81,108.1731,"VIC",104.368,115.3846,115.3846,97.31233,120.0534,99.10335,"Greater Melbourne",1407,112.3876,108.1731,110.9467,112.3876,106.8376,100.3344,96.15385,113.9601,111.2141,111.2141,112.5704,104.8951,102.5641,102.2395,102.2395,95.02262,104.8951,100.0785,108.9744,102.5641,106.6054,102.5641,102.8907,114.0429,98.07692,99.0676,114.0429,101.81,98.07692,98.07692
"3113",90.14423,84.84163,100.3344,81.44796,91.09312,"VIC",86.53846,84.42777,null,87.79264,87.26568,null,"Greater Melbourne",1408,91.09312,86.53846,89.21491,null,84.84163,90.49774,null,83.91608,100.3344,92.30769,null,68.63025,null,85.02024,87.79264,77.66272,null,98.07692,80.39092,null,98.07692,94.19152,102.8907,null,74.02032,81.73077,84.54907,103.8462,81.73077,null
"3000",96.15385,100.6261,107.3345,144.2308,96.15385,"VIC",103.8462,129.8077,129.8077,91.78322,148.3516,93.91771,"Greater Melbourne",1310,101.81,107.6349,94.06355,97.23423,100.6261,102.5641,107.3345,102.7925,102.5641,102.5641,102.5641,102.5641,100.3344,90.75194,89.74359,88.7574,96.15385,100.0785,100.0785,98.19967,98.07692,92.30769,93.91771,98.07692,99.0676,100.0785,102.3767,148.3516,100.2832,98.07692
"3027",112.3876,108.1731,124.7401,126.6417,113.8664,"VIC",122.1719,123.6264,128.2051,113.7595,122.1719,120.5511,"Greater Melbourne",1332,116.9439,116.9439,115.3846,123.6264,123.6264,115.3846,113.261,119.8801,115.3846,112.5704,115.3846,113.9601,109.8901,115.3846,118.7783,115.3846,109.8901,114.0429,116.7582,109.8901,114.0429,109.8901,118.7783,114.0429,116.7582,114.0429,114.0429,123.6264,114.0429,116.7582
"3028",139.5782,141.8663,148.8834,150.5017,144.2308,"VIC",144.2308,148.3516,144.2308,139.2573,148.3516,139.2573,"Greater Melbourne",1333,144.2308,144.2308,149.2042,149.2042,149.2042,144.2308,144.2308,153.8462,148.8834,139.8601,144.2308,143.1127,139.8601,139.2573,139.2573,139.2573,131.8681,140.1099,140.1099,139.8601,136.2179,135.7466,139.2573,138.1365,140.1099,138.1365,140.1099,148.3516,136.2179,136.2179
"3033",120.1923,116.9439,119.1067,118.007,120.1923,"VIC",115.3846,122.1719,115.3846,122.3776,115.3846,115.3846,"Greater Melbourne",1338,123.6264,121.8852,123.6264,129.1619,127.2624,118.3432,115.3846,121.4575,124.7401,118.3432,121.4575,116.8452,118.3432,115.3846,118.6161,115.3846,111.2141,119.606,108.9744,115.3846,108.9744,115.3846,117.0569,116.7582,115.3846,115.3846,111.451,128.2051,111.451,112.7321
"3034",119.3634,120.1923,128.2051,122.8949,116.9439,"VIC",123.6264,131.4508,119.3634,126.2019,129.8077,118.7783,"Greater Melbourne",1339,125.4181,127.2624,123.6264,127.2624,125.4181,128.2051,126.4489,128.2051,127.321,124.7401,118.3432,120.6637,121.4575,118.7783,120.5511,115.3846,115.3846,122.5962,116.7582,115.3846,114.0429,118.3432,126.2019,116.7582,118.165,116.7582,122.5962,129.8077,122.5962,116.7582
"3036",117.7394,116.9439,128.2051,123.6264,110.9467,"VIC",125.1158,129.8077,118.007,115.3846,129.8077,null,"Greater Melbourne",1340,116.9439,113.8664,115.3846,121.8852,110.9467,104.8951,124.7401,115.3846,null,115.3846,107.9622,97.16599,111.2141,113.7595,106.2753,109.1476,119.1067,111.451,116.7582,115.3846,109.5832,123.9029,115.3846,116.7582,null,108.9744,102.1635,124.3667,116.0674,121.0826
"3002",87.85631,100.6261,98.19967,115.3846,94.05537,"VIC",96.15385,104.8951,109.3117,89.74359,115.3846,93.37483,"Greater Melbourne",1311,92.06219,96.15385,98.33916,88.30455,93.05211,99.25558,95.65564,102.5641,98.19967,102.5641,93.24009,99.25558,99.25558,89.74359,89.74359,85.02024,102.5641,96.62751,98.07692,96.65727,98.07692,95.16257,91.78322,103.7851,100.0785,102.1635,97.10586,109.3117,84.54907,89.16084
"3003",93.05211,100.6261,102.5641,138.4615,106.8376,"VIC",101.81,115.3846,129.8077,90.75194,136.8197,88.7574,"Greater Melbourne",1312,96.15385,96.15385,93.91043,94.06355,91.09312,103.7165,112.5704,102.5641,102.5641,107.3345,104.8951,102.5641,102.5641,87.79264,84.13462,83.26725,103.7165,102.1635,106.6054,107.3345,99.0676,102.5641,76.19739,111.451,102.1635,106.6054,102.1635,144.2308,106.0291,98.07692
"3004",91.09312,92.06219,97.16599,123.6264,96.15385,"VIC",97.96807,105.9655,117.3403,83.26725,122.1719,84.13462,"Greater Melbourne",1313,87.85631,92.06219,90.14423,88.30455,92.06219,96.15385,96.15385,96.15385,95.16257,96.15385,94.19152,93.24009,95.16257,80.76923,84.13462,83.69868,92.30769,94.30473,98.07692,87.08273,89.16084,91.39375,92.8382,94.30473,119.606,92.5254,96.15385,126.6417,96.15385,94.30473
"3005",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3006",84.84163,83.21006,90.49774,129.8077,84.84163,"VIC",94.40559,115.3846,129.8077,76.19739,131.4508,77.66272,"Greater Melbourne",1315,86.53846,86.53846,83.21006,83.21006,91.09312,87.91209,92.30769,87.08273,88.7574,83.91608,85.86762,83.91608,87.08273,76.19739,76.19739,74.10021,83.91608,92.5254,87.56868,85.47009,89.16084,85.47009,77.66272,89.16084,89.16084,90.81197,89.16084,129.8077,86.79374,89.16084
"3008",88.30455,84.01792,92.30769,129.8077,87.41259,"VIC",90.301,99.85207,122.1719,72.11538,129.8077,74.78632,"Greater Melbourne",1316,83.61204,90.14423,83.21006,86.53846,81.64006,90.49774,90.49774,90.49774,88.33272,83.91608,83.91608,90.49774,92.30769,76.92308,82.41758,73.42657,82.41758,90.81197,81.73077,87.08273,81.73077,85.47009,74.10021,94.30473,83.11604,87.56868,89.16084,129.8077,86.03239,87.56868
"3010",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1317,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3011",131.1189,123.6264,135.7466,136.6397,123.6264,"VIC",133.1361,133.1361,136.6397,126.2019,136.6397,139.2573,"Greater Melbourne",1318,130.133,123.6264,127.2624,131.1189,123.6264,131.8681,131.8681,137.5674,131.8681,128.2051,124.7401,128.2051,128.2051,118.7783,126.2019,122.3776,124.7401,125.7396,129.0486,123.0769,129.0486,121.4575,122.3776,125.7396,124.148,122.5962,130.7692,147.2995,119.606,122.5962
"3013",108.1731,100.6261,107.3345,103.8462,103.022,"VIC",97.50813,103.8462,110.4746,112.1795,107.6126,110.6428,"Greater Melbourne",1320,109.5424,102.4124,108.8534,109.5424,105.5347,102.5641,105.4945,102.5641,107.3345,102.5641,97.16599,102.5641,102.5641,106.2753,103.5503,103.5503,94.19152,104.3372,98.07692,96.65727,98.07692,96.15385,103.5503,102.1635,102.1635,98.07692,104.3372,105.9655,94.30473,94.30473
"3012",128.0155,131.1189,139.8601,129.8077,128.2051,"VIC",125.1158,133.1361,133.1361,130.273,129.8077,126.2019,"Greater Melbourne",1319,131.1189,129.1619,131.1189,131.1189,131.1189,130.0108,131.8681,131.8681,131.8681,124.7401,128.2051,128.2051,128.2051,118.7783,120.5511,120.5511,121.4575,129.0486,123.3672,124.7401,124.148,121.4575,124.2604,126.5509,125.7396,129.0486,129.0486,136.4601,116.7582,122.5962
"3018",127.2624,127.2624,129.0836,115.3846,126.3335,"VIC",115.3846,130.6241,129.8077,123.3118,129.8077,134.6154,"Greater Melbourne",1323,131.1189,131.1189,127.2624,130.133,127.2624,128.2051,130.0108,131.8681,131.8681,128.2051,128.2051,126.4489,121.4575,126.2019,115.3846,126.2019,122.2618,111.451,122.5962,119.8801,114.7099,115.3846,123.3118,122.5962,122.4431,122.5962,115.3846,118.007,116.7582,106.6054
