 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3012.0,AKRAAM FAMILY DAY CARE PTY LTD,MAIDSTONE,38A HOWARD ST ,172,144.878,-37.783
3759.0,Panton Hill Primary School Council,PANTON HILL,585 KANGAROO GROUND - ST ANDREWS ROAD ,351,145.2424941,-37.6400391
3759.0,Panton Hill Preschool Inc,PANTON HILL,601 MAIN ROAD ,352,145.2424941,-37.6400391
3015.0,EARLY LEARNERS PTY LTD,NEWPORT,Early Learners,393,144.884,-37.842
3015.0,Early Learners School Inc,NEWPORT,Early Learners School ,394,144.884,-37.842
3170.0,The Body Shop Children's Centre Pty Ltd,MULGRAVE,CNR WELLINGTON & JACKSONS RD ,414,145.1762197,-37.9267579
3170.0,Child & Family Care Network,MULGRAVE,Child & Family Care Network,415,145.1762197,-37.9267579
3108.0,Doncaster Kindergarten Association Inc,DONCASTER,SUITE 11A MANNINGHAM CITY SQUARE MC2 ,416,145.1210303,-37.7865824
3137.0,Arrabri Kindergarten Inc,KILSYTH,Arrabri Kindergarten ,417,145.316,-37.802
3113.0,Warrandyte & District Preschool Assoc Inc,WARRANDYTE,2 TAROONA AVENUE ,420,145.223,-37.738
3168.0,St Dominic Savio Early Learning Centre Pty Ltd,CLAYTON,19 DONALD STREET ,424,145.1320653,-37.9211962
3918.0,BITTERN PRIMARY SCHOOL COUNCIL,BITTERN,BITTERN PRIMARY SCHOOL,425,145.165179,-38.3329437
3169.0,CSIRO Care Clayton Inc,CLAYTON SOUTH,CSIRO Care Clayton ,426,145.123,-37.947
3193.0,Minnows Childcare Pty. Ltd.,BEAUMARIS,Minnows Childcare . .,427,145.0434,-37.983
3171.0,Wellington Preschool Inc,SPRINGVALE,Wellington Preschool ,428,145.1541397,-37.9473307
3133.0,Waverley Christian College Inc,VERMONT,Waverley Christian College ,429,145.198,-37.838
3175.0,Youth Leadership Victoria Inc,DANDENONG,Youth Leadership Victoria ,430,145.215,-37.981
3175.0,NEW GENERATION FAMILY DAY CARE PTY LTD,DANDENONG,65 FOSTER STREET ,431,145.215,-37.981
3175.0,Panda Care PTY LTD (Trading as Panda Family Day Care),DANDENONG,15 LANGHORNE STREET,432,145.215,-37.981
3133.0,HILLTOP LEARNING PTY LTD,VERMONT SOUTH,HILLTOP LEARNING  ,433,145.183,-37.851
3158.0,Upwey South Primary School Council,UPWEY,Upwey South Primary School Council,434,145.3309395,-37.9039829
3124.0,Wilson Childcare Pty Ltd,CAMBERWELL WEST,Koala Childcare and Kindergarten - Mt Waverley,436,145.071,-37.835
3124.0,Bambinos Childcare Pty Ltd,CAMBERWELL WEST,Koala Childcare and Kindergarten- Reservoir,437,145.071,-37.835
3124.0,Koala Childcare and Early Learning Centres Pty Ltd,CAMBERWELL WEST,Koala Childcare and Kindergarten - East Doncaster,438,145.071,-37.835
