 postcode, legal_name, suburb, address, ogc_fid
3012.0,AKRAAM FAMILY DAY CARE PTY LTD,MAIDSTONE,38A HOWARD ST ,172
3759.0,Panton Hill Primary School Council,PANTON HILL,585 KANGAROO GROUND - ST ANDREWS ROAD ,351
3759.0,Panton Hill Preschool Inc,PANTON HILL,601 MAIN ROAD ,352
3015.0,EARLY LEARNERS PTY LTD,NEWPORT,Early Learners,393
3015.0,Early Learners School Inc,NEWPORT,Early Learners School ,394
3170.0,The Body Shop Children's Centre Pty Ltd,MULGRAVE,CNR WELLINGTON & JACKSONS RD ,414
3170.0,Child & Family Care Network,MULGRAVE,Child & Family Care Network,415
3108.0,Doncaster Kindergarten Association Inc,DONCASTER,SUITE 11A MANNINGHAM CITY SQUARE MC2 ,416
3137.0,Arrabri Kindergarten Inc,KILSYTH,Arrabri Kindergarten ,417
3113.0,Warrandyte & District Preschool Assoc Inc,WARRANDYTE,2 TAROONA AVENUE ,420
3168.0,St Dominic Savio Early Learning Centre Pty Ltd,CLAYTON,19 DONALD STREET ,424
3918.0,BITTERN PRIMARY SCHOOL COUNCIL,BITTERN,BITTERN PRIMARY SCHOOL,425
3169.0,CSIRO Care Clayton Inc,CLAYTON SOUTH,CSIRO Care Clayton ,426
3193.0,Minnows Childcare Pty. Ltd.,BEAUMARIS,Minnows Childcare . .,427
3171.0,Wellington Preschool Inc,SPRINGVALE,Wellington Preschool ,428
3133.0,Waverley Christian College Inc,VERMONT,Waverley Christian College ,429
3175.0,Youth Leadership Victoria Inc,DANDENONG,Youth Leadership Victoria ,430
3175.0,NEW GENERATION FAMILY DAY CARE PTY LTD,DANDENONG,65 FOSTER STREET ,431
3175.0,Panda Care PTY LTD (Trading as Panda Family Day Care),DANDENONG,15 LANGHORNE STREET,432
3133.0,HILLTOP LEARNING PTY LTD,VERMONT SOUTH,HILLTOP LEARNING  ,433
3158.0,Upwey South Primary School Council,UPWEY,Upwey South Primary School Council,434
3124.0,Wilson Childcare Pty Ltd,CAMBERWELL WEST,Koala Childcare and Kindergarten - Mt Waverley,436
3124.0,Bambinos Childcare Pty Ltd,CAMBERWELL WEST,Koala Childcare and Kindergarten- Reservoir,437
3124.0,Koala Childcare and Early Learning Centres Pty Ltd,CAMBERWELL WEST,Koala Childcare and Kindergarten - East Doncaster,438
3124.0,Camberwell Baptist Church Kindergarten Inc,CAMBERWELL,Camberwell Baptist Church Kindergarten ,439
3048.0,BETHAL PRIMARY SCHOOL COUNCIL,MEADOW HEIGHTS,BETHAL PRIMARY SCHOOL COUNCIL,440
3191.0,Bayside City Council,SANDRINGHAM,Bayside City Council,441
3103.0,Maple Street Early Learning Pty Ltd atf Maple Street Early Learning Trust,BALWYN,Maple Street Early Learning   atf Maple Street Early Learning Trust,442
3103.0,Deepdene Preschool Centre Inc,BALWYN,Deepdene Preschool Centre ,443
3103.0,Camberwell Grammar School,BALWYN,Camberwell Grammar School,444
3140.0,John Valoa,LILYDALE,9 PARK LANE ,445
3140.0,Lilydale West Primary School,LILYDALE,Lilydale West Primary School,446
3140.0,A.M. Cowmey Pty. Limited & Katerean Pty. Limited,LILYDALE,162 - 164 NELSON DRIVE ,447
3140.0,Lilydale Preschool Centre Inc,LILYDALE,Lilydale Preschool Centre ,448
3140.0,Lilydale North Pre-School Inc,LILYDALE,Lilydale North Pre-School ,449
3169.0,Sundowner Kindergarten Inc,CLARINDA,Sundowner Kindergarten ,450
3079.0,Banyule City Council,IVANHOE,Banyule City Council,451
3142.0,Brookville Kindergarten Inc,TOORAK,Brookville Kindergarten ,452
3143.0,Lauriston Girls School,ARMADALE,Lauriston Girls School,453
3143.0,SLK Trading Richmond Pty Ltd,ARMADALE,Tree House Early Learning Richmond,454
3143.0,SLK TRADING ARMADALE PTY LTD,ARMADALE,Explorers Early Learning - Armadale,455
3143.0,SLK TRADING POINT COOK PTY LTD,ARMADALE,SLK TRADING POINT COOK  ,456
3143.0,SLK TRADING MAIDSTONE PTY LTD,ARMADALE,Explorers Early Learning - Maidstone,457
3101.0,Rodleen Enterprises Pty Ltd and Dynamik Nominees Pty Ltd ATF Rudd Gallagher Trust,KEW,102 PRESS STREET ,458
3938.0,Chrissy's Kindergarten & Early Learning Centre Pty Ltd,MCCRAE,Chrissy's Kindergarten & Early Learning Centre  ,459
3076.0,KW 5 Star Kids Services Pty Ltd,EPPING,KW 5 Star Kids Services  ,460
3076.0,Epping North Kindergarten Inc,EPPING,Epping North Kindergarten ,461
3429.0,DISTINCTIVE OPTIONS LTD,SUNBURY,DISTTIVE OPTIONS ,474
3121.0,Australian Vietnamese Womens Association,RICHMOND NORTH,Australian Vietnamese Womens ,478
3151.0,Sunnyside Early Learning Centre Pty Ltd ATF Montessori Unit Trust,BURWOOD EAST,Wyndham Vale Montessori Centre,479
3151.0,Maddingley Montessori Centre Pty Ltd as trustee for Maddingley Montessori Centre Unit Trust,BURWOOD EAST,Maddingley Montessori Centre,480
3225.0,Queenscliff Primary School Council,QUEENSCLIFF,Queenscliff Primary School Council,483
3047.0,Hume City Council,DALLAS,Hume City Council,485
3047.0,Northern Schools Early Years Cluster Inc.,DALLAS,Northern Schools Early Years Cluster .,486
3047.0,Dallas Brooks Community Primary School Council,DALLAS,Dallas Brooks Community Primary School Council,487
3047.0,Sirius College,DALLAS,Sirius College,488
3030.0,South West Training Services Pty Ltd,WERRIBEE,South West Training Services  ,492
3030.0,Cambridge Primary School,WERRIBEE,Cambridge Primary School,493
3030.0,The Westbourne Education Services Ltd,WERRIBEE,The Westbourne Education Services ,494
3030.0,Wyndham City Council,WERRIBEE,Wyndham City Council,495
3128.0,Box Hill South Preschool Inc,BOX HILL SOUTH,ROTARY COURT ,525
3084.0,Arthurton Investments Pty Ltd as Trustee for the Arthurton Investments Trust,EAGLEMONT,Arthurton Investments   as Trustee for the Arthurton Investments Trust,530
3055.0,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,MOONEE VALE,KELLY CLUB AUSTRALIA   ATF KELLY CLUB AUSTRALIA UNIT TRUST,531
3055.0,S & S Coleman Pty Ltd atf S and S Family Trust,MOONEE VALE,S & S Coleman   atf S and S Family Trust,532
3201.0,Robert I Fernandez Pty Ltd ATF The Moira B Fernandez Family Trust,CARRUM DOWNS,Robert I Fernandez   ATF The Moira B Fernandez Family Trust,614
3201.0,Kids Paradise Childcare Pty Ltd  ATF The Kids Paradise Child Care Trust,CARRUM DOWNS,2 - 6 FULMAR ST ,615
