state_code_2021, pop_density_2021_people_per_km2, area_km2, lga_code_2021, state_name_2021, lga_name_2021, primaryindex
1,182.418106079102,305.638610839844,"10050","New South Wales","Albury",1
1,0.104900002479553,21690.75,"10300","New South Wales","Balranald",4
1,11.6661996841431,3817.86450195312,"10470","New South Wales","Bathurst Regional",5
1,5.58190011978149,6278.50146484375,"10550","New South Wales","Bega Valley",7
1,4.2645001411438,2065.8876953125,"10650","New South Wales","Berrigan",9
1,0.692099988460541,8557.6533203125,"10800","New South Wales","Bland",11
1,0.147300004959106,18934.484375,"11600","New South Wales","Carrathool",25
1,1.77049994468689,2430.90380859375,"12000","New South Wales","Coolamon",32
1,2.80529999732971,3981.41723632812,"12160","New South Wales","Cootamundra-Gundagai Regional",34
1,4.55179977416992,2808.78198242188,"12350","New South Wales","Cowra",35
1,1.03090000152588,8883.4462890625,"12730","New South Wales","Edward River",39
1,11.4819002151489,3428.16943359375,"12750","New South Wales","Eurobodalla",40
1,2.24009990692139,5684.92529296875,"12870","New South Wales","Federation",42
1,9.87430000305176,3220.07958984375,"13310","New South Wales","Goulburn Mulwaree",47
1,1.91670000553131,5749.3876953125,"13340","New South Wales","Greater Hume Shire",48
1,16.577299118042,1639.17321777344,"13450","New South Wales","Griffith",49
1,0.259999990463257,11325.9326171875,"13850","New South Wales","Hay",53
1,2.59809994697571,7140.88671875,"13910","New South Wales","Hilltops",54
1,3.31920003890991,2030.02221679688,"14300","New South Wales","Junee",59
1,9.63169956207275,1167.18762207031,"14750","New South Wales","Leeton",67
1,1.11230003833771,2895.80493164062,"14950","New South Wales","Lockhart",72
1,1.05970001220703,11863.0166015625,"15520","New South Wales","Murray River",78
1,0.562600016593933,6880.7900390625,"15560","New South Wales","Murrumbidgee",79
1,1.41729998588562,4116.345703125,"15800","New South Wales","Narrandera",83
1,1.49650001525879,3625.04711914062,"16100","New South Wales","Oberon",88
1,11.9365997314453,5319.00732421875,"16490","New South Wales","Queanbeyan-Palerang Regional",95
1,1.39839994907379,15164.7900390625,"17040","New South Wales","Snowy Monaro Regional",102
1,1.60160005092621,8958.921875,"17080","New South Wales","Snowy Valleys",103
1,2.23020005226135,2802.01586914062,"17350","New South Wales","Temora",108
1,1.18120002746582,7127.3955078125,"17640","New South Wales","Upper Lachlan Shire",113
1,13.7648000717163,4824.48876953125,"17750","New South Wales","Wagga Wagga",115
1,1.04750001430511,3414.85668945312,"18100","New South Wales","Weddin",121
1,0.272000014781952,26255.93359375,"18200","New South Wales","Wentworth",122
1,19.4505004882812,2689.34155273438,"18350","New South Wales","Wingecarribee",124
1,4.40749979019165,3995.01708984375,"18710","New South Wales","Yass Valley",128
2,2.72939991950989,4788.1572265625,"20110","Victoria","Alpine",130
2,2.83109998703003,4211.1171875,"20260","Victoria","Ararat",131
2,153.150299072266,739.032104492188,"20570","Victoria","Ballarat",132
2,2068.861328125,62.5401992797852,"20660","Victoria","Banyule",133
2,44.842399597168,865.809387207031,"20740","Victoria","Bass Coast",134
2,14.0487003326416,4027.62866210938,"20830","Victoria","Baw Baw",135
