,name,local_date_time_full,lat,lon,apparent_t,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,rel_hum,wind_dir,wind_spd_kmh,wind_spd_kt,datetime_local,BPM2.5
0,Melbourne CBD,05-13-16,-37.8,145.0,16.85,2.75,8.5,4.5,16.7,11.7,1022.05,1022.05,1022.05,72.5,"['CALM', 'S']",2.0,1.0,05-13-16,18.818
1,Melbourne CBD,05-13-15,-37.8,145.0,16.15,3.15,12.0,6.5,17.15,11.3,1021.85,1021.85,1021.85,68.5,"['SSW', 'SSW']",7.5,4.0,05-13-15,15.612
2,Melbourne CBD,05-13-14,-37.8,145.0,17.1,3.3,9.0,5.0,17.7,11.65,1021.5,1021.5,1021.5,68.0,"['S', 'SSE']",6.0,3.0,05-13-14,17.918
3,Melbourne CBD,05-13-13,-37.8,145.0,13.4,1.7,19.5,10.5,14.95,11.8,1021.8,1021.8,1021.8,81.5,"['SSW', 'SSW']",11.0,6.0,05-13-13,14.764
4,Melbourne CBD,05-13-12,-37.8,145.0,15.3,3.1,18.5,10.0,16.7,10.95,1021.9,1021.9,1021.9,69.0,"['SSW', 'SSW']",9.0,5.0,05-13-12,15.707
5,Melbourne CBD,05-13-11,-37.8,145.0,18.05,3.7,4.5,2.5,18.05,11.15,1022.7,1022.7,1022.7,64.0,"['CALM', 'NE']",2.0,1.0,05-13-11,17.259
6,Melbourne CBD,05-13-11,-37.8,145.0,18.05,3.7,4.5,2.5,18.05,11.15,1022.7,1022.7,1022.7,64.0,"['CALM', 'NE']",2.0,1.0,05-13-11,6.92
7,Melbourne CBD,05-13-10,-37.8,145.0,14.25,2.55,10.0,5.5,15.3,10.45,1023.1,1023.1,1023.1,73.0,"['NNE', 'NNE']",6.5,3.5,05-13-10,18.441
8,Melbourne CBD,05-13-09,-37.8,145.0,10.5,1.25,14.0,7.5,12.2,9.75,1022.95,1022.95,1022.95,85.0,"['NNE', 'NE']",9.0,5.0,05-13-09,12.177
9,Melbourne CBD,05-13-08,-37.8,145.0,8.55,0.2,12.0,6.5,10.1,9.65,1022.95,1022.95,1022.95,97.0,"['NE', 'NE']",8.0,4.5,05-13-08,13.182
10,Melbourne CBD,05-13-07,-37.8,145.0,7.65,0.0,12.0,6.5,9.3,9.3,1022.45,1022.45,1022.45,100.0,"['NE', 'NE']",8.0,4.5,05-13-07,14.893
11,Melbourne CBD,05-13-06,-37.8,145.0,8.2,0.0,10.0,5.5,9.6,9.6,1022.0,1022.0,1022.0,100.0,"['NNE', 'NNE']",7.0,4.0,05-13-06,9.427
12,Melbourne CBD,05-13-05,-37.8,145.0,8.399999999999999,0.0,10.0,5.5,9.65,9.65,1021.8,1021.8,1021.8,100.0,"['ENE', 'NE']",6.5,3.5,05-13-05,10.341
13,Melbourne CBD,05-13-04,-37.8,145.0,8.649999999999999,0.0,10.0,5.5,9.95,9.95,1021.7,1021.7,1021.7,100.0,"['NE', 'NE']",7.0,4.0,05-13-04,12.097
14,Melbourne CBD,05-13-03,-37.8,145.0,9.45,0.0,10.0,5.5,10.5,10.5,1021.85,1021.85,1021.85,100.0,"['NE', 'NE']",6.5,3.5,05-13-03,15.163
15,Melbourne CBD,05-13-02,-37.8,145.0,10.6,0.0,0.0,0.0,10.45,10.45,1022.2,1022.2,1022.2,100.0,"['CALM', 'CALM']",0.0,0.0,05-13-02,15.993
16,Melbourne CBD,05-13-01,-37.8,145.0,10.75,0.0,0.0,0.0,10.55,10.55,1022.4,1022.4,1022.4,100.0,"['CALM', 'CALM']",0.0,0.0,05-13-01,8.446
17,Melbourne CBD,05-13-01,-37.8,145.0,10.75,0.0,0.0,0.0,10.55,10.55,1022.5,1022.5,1022.5,100.0,"['CALM', 'CALM']",0.0,0.0,05-13-01,8.446
18,Melbourne CBD,05-13-01,-37.8,145.0,11.0,0.0,0.0,0.0,10.75,10.75,1022.5,1022.5,1022.5,100.0,"['CALM', 'CALM']",0.0,0.0,05-13-01,8.446
19,Melbourne CBD,05-13-00,-37.8,145.0,11.5,0.0,0.0,0.0,11.15,11.15,1022.8,1022.8,1022.8,100.0,"['CALM', 'CALM']",0.0,0.0,05-13-00,10.308
20,Melbourne CBD,05-12-23,-37.8,145.0,12.5,0.0,3.5,2.0,12.05,12.05,1022.8,1022.8,1022.8,100.0,"['CALM', 'E']",1.0,0.5,05-12-23,11.534
21,Melbourne CBD,05-12-22,-37.8,145.0,13.05,0.0,0.0,0.0,12.3,12.3,1022.9,1022.9,1022.9,100.0,"['CALM', 'CALM']",0.0,0.0,05-12-22,15.666
22,Melbourne CBD,05-12-21,-37.8,145.0,12.25,0.0,3.0,1.5,11.85,11.85,1022.85,1022.85,1022.85,100.0,"['WSW', 'CALM']",1.0,0.5,05-12-21,12.174
23,Melbourne CBD,05-12-20,-37.8,145.0,12.45,0.0,0.0,0.0,11.85,11.85,1022.45,1022.45,1022.45,100.0,"['CALM', 'CALM']",0.0,0.0,05-12-20,15.238
24,Melbourne CBD,05-12-19,-37.8,145.0,12.95,0.15,0.0,0.0,12.3,12.05,1022.35,1022.35,1022.35,98.5,"['CALM', 'CALM']",0.0,0.0,05-12-19,14.627
25,Melbourne CBD,05-12-18,-37.8,145.0,13.8,0.65,0.0,0.0,13.15,11.95,1022.15,1022.15,1022.15,92.5,"['CALM', 'CALM']",0.0,0.0,05-12-18,15.277
