,datetime_local,location_name,BPM2.5
0,2022-01-01-01,Melbourne CBD,11.834
1,2022-01-01-02,Melbourne CBD,16.082
2,2022-01-01-03,Melbourne CBD,14.921
3,2022-01-01-04,Melbourne CBD,13.251
4,2022-01-01-05,Melbourne CBD,4.93
5,2022-01-01-06,Melbourne CBD,12.005
6,2022-01-01-07,Melbourne CBD,5.908
7,2022-01-01-08,Melbourne CBD,6.299
8,2022-01-01-09,Melbourne CBD,12.087
9,2022-01-01-10,Melbourne CBD,5.758
10,2022-01-01-11,Melbourne CBD,7.084
11,2022-01-01-12,Melbourne CBD,5.907
12,2022-01-01-13,Melbourne CBD,1.574
13,2022-01-01-14,Melbourne CBD,5.087
14,2022-01-01-15,Melbourne CBD,7.303
15,2022-01-01-16,Melbourne CBD,7.421
16,2022-01-01-17,Melbourne CBD,11.23
17,2022-01-01-18,Melbourne CBD,7.342
18,2022-01-01-19,Melbourne CBD,10.283
19,2022-01-01-20,Melbourne CBD,1.704
20,2022-01-01-21,Melbourne CBD,11.745
21,2022-01-01-22,Melbourne CBD,6.847
22,2022-01-01-23,Melbourne CBD,6.049
23,2022-01-02-00,Melbourne CBD,8.117
24,2022-01-02-01,Melbourne CBD,4.665
25,2022-01-02-02,Melbourne CBD,9.27
26,2022-01-02-03,Melbourne CBD,11.628
27,2022-01-02-04,Melbourne CBD,11.575
28,2022-01-02-05,Melbourne CBD,8.066
29,2022-01-02-06,Melbourne CBD,9.032
30,2022-01-02-07,Melbourne CBD,14.112
31,2022-01-02-08,Melbourne CBD,7.898
32,2022-01-02-09,Melbourne CBD,10.391
33,2022-01-02-10,Melbourne CBD,8.585
34,2022-01-02-11,Melbourne CBD,10.963
35,2022-01-02-12,Melbourne CBD,8.663
36,2022-01-02-13,Melbourne CBD,9.373
37,2022-01-02-14,Melbourne CBD,10.296
38,2022-01-02-15,Melbourne CBD,4.079
39,2022-01-02-16,Melbourne CBD,4.415
40,2022-01-02-17,Melbourne CBD,0.253
41,2022-01-02-18,Melbourne CBD,5.298
42,2022-01-02-19,Melbourne CBD,9.625
43,2022-01-02-20,Melbourne CBD,7.123
44,2022-01-02-21,Melbourne CBD,7.982
45,2022-01-02-22,Melbourne CBD,2.838
46,2022-01-02-23,Melbourne CBD,4.545
47,2022-01-03-00,Melbourne CBD,7.342
48,2022-01-03-01,Melbourne CBD,7.821
49,2022-01-03-02,Melbourne CBD,4.367
50,2022-01-03-03,Melbourne CBD,2.988
51,2022-01-03-04,Melbourne CBD,6.397
52,2022-01-03-05,Melbourne CBD,2.359
53,2022-01-03-06,Melbourne CBD,2.838
54,2022-01-03-07,Melbourne CBD,0.766
55,2022-01-03-08,Melbourne CBD,1.909
56,2022-01-03-09,Melbourne CBD,3.565
57,2022-01-03-10,Melbourne CBD,0.542
58,2022-01-03-11,Melbourne CBD,7.426
59,2022-01-03-12,Melbourne CBD,5.317
60,2022-01-03-13,Melbourne CBD,4.543
61,2022-01-03-14,Melbourne CBD,2.288
62,2022-01-03-15,Melbourne CBD,6.58
63,2022-01-03-16,Melbourne CBD,2.749
64,2022-01-03-17,Melbourne CBD,1.766
65,2022-01-03-18,Melbourne CBD,10.086
66,2022-01-03-19,Melbourne CBD,4.781
67,2022-01-03-20,Melbourne CBD,5.875
68,2022-01-03-21,Melbourne CBD,5.935
69,2022-01-03-22,Melbourne CBD,9.318
70,2022-01-03-23,Melbourne CBD,-1.313
71,2022-01-04-00,Melbourne CBD,5.19
72,2022-01-04-01,Melbourne CBD,2.264
73,2022-01-04-02,Melbourne CBD,9.043
74,2022-01-04-03,Melbourne CBD,5.759
75,2022-01-04-04,Melbourne CBD,3.513
76,2022-01-04-05,Melbourne CBD,7.47
77,2022-01-04-06,Melbourne CBD,5.162
78,2022-01-04-07,Melbourne CBD,4.816
79,2022-01-04-08,Melbourne CBD,7.529
80,2022-01-04-09,Melbourne CBD,11.837
81,2022-01-04-10,Melbourne CBD,13.573
82,2022-01-04-11,Melbourne CBD,13.359
83,2022-01-04-12,Melbourne CBD,6.153
84,2022-01-04-13,Melbourne CBD,7.369
85,2022-01-04-14,Melbourne CBD,7.502
86,2022-01-04-15,Melbourne CBD,10.421
87,2022-01-04-16,Melbourne CBD,7.896
88,2022-01-04-17,Melbourne CBD,8.401
89,2022-01-04-18,Melbourne CBD,10.041
90,2022-01-04-19,Melbourne CBD,7.99
91,2022-01-04-20,Melbourne CBD,6.715
92,2022-01-04-21,Melbourne CBD,6.983
93,2022-01-04-22,Melbourne CBD,8.717
94,2022-01-04-23,Melbourne CBD,8.129
95,2022-01-05-00,Melbourne CBD,2.666
96,2022-01-05-01,Melbourne CBD,2.814
97,2022-01-05-02,Melbourne CBD,5.222
98,2022-01-05-03,Melbourne CBD,10.658
99,2022-01-05-04,Melbourne CBD,2.48
100,2022-01-05-05,Melbourne CBD,10.043
101,2022-01-05-06,Melbourne CBD,6.69
102,2022-01-05-07,Melbourne CBD,5.363
103,2022-01-05-08,Melbourne CBD,6.328
104,2022-01-05-09,Melbourne CBD,5.721
105,2022-01-05-10,Melbourne CBD,10.939
106,2022-01-05-11,Melbourne CBD,7.272
107,2022-01-05-12,Melbourne CBD,-1.075
108,2022-01-05-13,Melbourne CBD,5.552
109,2022-01-05-14,Melbourne CBD,2.936
110,2022-01-05-15,Melbourne CBD,6.37
111,2022-01-05-16,Melbourne CBD,5.102
112,2022-01-05-17,Melbourne CBD,4.659
113,2022-01-05-18,Melbourne CBD,6.676
114,2022-01-05-19,Melbourne CBD,4.41
115,2022-01-05-20,Melbourne CBD,6.956
116,2022-01-05-21,Melbourne CBD,1.92
117,2022-01-05-22,Melbourne CBD,1.71
118,2022-01-05-23,Melbourne CBD,7.562
119,2022-01-06-00,Melbourne CBD,1.928
120,2022-01-06-01,Melbourne CBD,0.922
121,2022-01-06-02,Melbourne CBD,6.234
122,2022-01-06-03,Melbourne CBD,6.251
123,2022-01-06-04,Melbourne CBD,-0.006
124,2022-01-06-05,Melbourne CBD,2.224
125,2022-01-06-06,Melbourne CBD,0.293
126,2022-01-06-07,Melbourne CBD,3.682
127,2022-01-06-08,Melbourne CBD,4.846
128,2022-01-06-09,Melbourne CBD,3.927
129,2022-01-06-10,Melbourne CBD,5.504
130,2022-01-06-11,Melbourne CBD,5.943
131,2022-01-06-12,Melbourne CBD,5.963
132,2022-01-06-13,Melbourne CBD,4.512
133,2022-01-06-14,Melbourne CBD,4.926
134,2022-01-06-15,Melbourne CBD,10.537
135,2022-01-06-16,Melbourne CBD,-1.06
136,2022-01-06-17,Melbourne CBD,6.18
137,2022-01-06-18,Melbourne CBD,13.356
138,2022-01-06-19,Melbourne CBD,10.367
139,2022-01-06-20,Melbourne CBD,5.753
140,2022-01-06-21,Melbourne CBD,3.485
141,2022-01-06-22,Melbourne CBD,2.091
142,2022-01-06-23,Melbourne CBD,1.767
143,2022-01-07-00,Melbourne CBD,7.905
144,2022-01-07-01,Melbourne CBD,2.555
145,2022-01-07-02,Melbourne CBD,1.982
146,2022-01-07-03,Melbourne CBD,1.847
147,2022-01-07-04,Melbourne CBD,7.342
148,2022-01-07-05,Melbourne CBD,-1.469
149,2022-01-07-06,Melbourne CBD,5.348
150,2022-01-07-07,Melbourne CBD,1.582
151,2022-01-07-08,Melbourne CBD,1.042
152,2022-01-07-09,Melbourne CBD,6.151
153,2022-01-07-10,Melbourne CBD,6.519
154,2022-01-07-11,Melbourne CBD,-1.223
155,2022-01-07-12,Melbourne CBD,0.816
156,2022-01-07-13,Melbourne CBD,3.913
157,2022-01-07-14,Melbourne CBD,3.604
158,2022-01-07-15,Melbourne CBD,9.446
159,2022-01-07-16,Melbourne CBD,5.902
160,2022-01-07-17,Melbourne CBD,14.882
161,2022-01-07-18,Melbourne CBD,9.439
162,2022-01-07-19,Melbourne CBD,5.73
163,2022-01-07-20,Melbourne CBD,15.091
164,2022-01-07-21,Melbourne CBD,4.339
165,2022-01-07-22,Melbourne CBD,12.554
166,2022-01-07-23,Melbourne CBD,13.218
167,2022-01-08-00,Melbourne CBD,6.547
168,2022-01-08-01,Melbourne CBD,8.252
169,2022-01-08-02,Melbourne CBD,4.285
170,2022-01-08-03,Melbourne CBD,5.701
171,2022-01-08-04,Melbourne CBD,4.624
172,2022-01-08-05,Melbourne CBD,3.073
173,2022-01-08-06,Melbourne CBD,-0.1
174,2022-01-08-07,Melbourne CBD,-1.17
175,2022-01-08-08,Melbourne CBD,1.467
176,2022-01-08-09,Melbourne CBD,9.423
177,2022-01-08-10,Melbourne CBD,4.493
178,2022-01-08-11,Melbourne CBD,3.478
179,2022-01-08-12,Melbourne CBD,3.702
180,2022-01-08-13,Melbourne CBD,5.504
181,2022-01-08-14,Melbourne CBD,5.081
182,2022-01-08-15,Melbourne CBD,4.986
183,2022-01-08-16,Melbourne CBD,5.749
184,2022-01-08-17,Melbourne CBD,7.301
185,2022-01-08-18,Melbourne CBD,8.602
186,2022-01-08-19,Melbourne CBD,8.098
187,2022-01-08-20,Melbourne CBD,6.491
188,2022-01-08-21,Melbourne CBD,8.405
189,2022-01-08-22,Melbourne CBD,3.516
190,2022-01-08-23,Melbourne CBD,8.153
191,2022-01-09-00,Melbourne CBD,4.438
192,2022-01-09-01,Melbourne CBD,1.765
193,2022-01-09-02,Melbourne CBD,3.09
194,2022-01-09-03,Melbourne CBD,5.136
